_c0,ts,open,high,low,close,volume,ts_readable,ma_50_raw,ma_50,prev_close,prev_ma50,buy_signal
0,1735689600000,189.31,189.71,189.08,189.71,4904.063,2025-01-01 05:30:00,189.71,,,,0
1,1735689660000,189.7,189.78,189.59,189.71,1321.029,2025-01-01 05:31:00,189.71,,189.71,,0
2,1735689720000,189.71,190.13,189.68,190.07,7505.439,2025-01-01 05:32:00,189.83,,189.71,,0
3,1735689780000,190.07,190.11,189.84,189.86,1844.873,2025-01-01 05:33:00,189.8375,,190.07,,0
4,1735689840000,189.86,189.94,189.85,189.85,642.511,2025-01-01 05:34:00,189.84,,189.86,,0
5,1735689900000,189.85,190.17,189.85,190.14,1099.724,2025-01-01 05:35:00,189.89000000000001,,189.85,,0
6,1735689960000,190.15,190.15,189.8,190.04,1194.558,2025-01-01 05:36:00,189.9114285714286,,190.14,,0
7,1735690020000,190.04,190.11,189.99,190.05,1389.42,2025-01-01 05:37:00,189.92875,,190.04,,0
8,1735690080000,190.05,190.08,190.01,190.08,1163.605,2025-01-01 05:38:00,189.94555555555556,,190.05,,0
9,1735690140000,190.08,190.08,190.0,190.02,507.361,2025-01-01 05:39:00,189.953,,190.08,,0
10,1735690200000,190.02,190.22,189.86,189.92,4856.741,2025-01-01 05:40:00,189.95,,190.02,,0
11,1735690260000,189.92,190.05,189.87,190.0,2218.239,2025-01-01 05:41:00,189.95416666666665,,189.92,,0
12,1735690320000,190.01,190.13,189.94,190.13,964.423,2025-01-01 05:42:00,189.9676923076923,,190.0,,0
13,1735690380000,190.13,190.47,190.13,190.29,3533.777,2025-01-01 05:43:00,189.9907142857143,,190.13,,0
14,1735690440000,190.29,190.52,190.29,190.51,1906.654,2025-01-01 05:44:00,190.02533333333335,,190.29,,0
15,1735690500000,190.5,190.62,190.36,190.54,2234.088,2025-01-01 05:45:00,190.0575,,190.51,,0
16,1735690560000,190.54,190.89,190.47,190.85,4195.198,2025-01-01 05:46:00,190.1041176470588,,190.54,,0
17,1735690620000,190.84,190.99,190.77,190.88,1597.269,2025-01-01 05:47:00,190.14722222222224,,190.85,,0
18,1735690680000,190.88,191.07,190.82,191.01,2198.625,2025-01-01 05:48:00,190.19263157894736,,190.88,,0
19,1735690740000,191.01,191.01,190.86,191.0,1537.389,2025-01-01 05:49:00,190.233,,191.01,,0
20,1735690800000,190.99,191.21,190.95,191.2,980.184,2025-01-01 05:50:00,190.27904761904762,,191.0,,0
21,1735690860000,191.2,191.3,190.92,190.93,2633.759,2025-01-01 05:51:00,190.30863636363637,,191.2,,0
22,1735690920000,190.93,190.96,190.72,190.76,1096.872,2025-01-01 05:52:00,190.3282608695652,,190.93,,0
23,1735690980000,190.76,190.85,190.65,190.85,2318.37,2025-01-01 05:53:00,190.35000000000002,,190.76,,0
24,1735691040000,190.85,190.94,190.66,190.66,630.629,2025-01-01 05:54:00,190.3624,,190.85,,0
25,1735691100000,190.66,190.78,190.61,190.68,1080.571,2025-01-01 05:55:00,190.37461538461542,,190.66,,0
26,1735691160000,190.67,190.7,190.47,190.51,828.17,2025-01-01 05:56:00,190.37962962962968,,190.68,,0
27,1735691220000,190.5,190.5,190.39,190.46,635.786,2025-01-01 05:57:00,190.38250000000002,,190.51,,0
28,1735691280000,190.46,190.58,190.42,190.58,1072.031,2025-01-01 05:58:00,190.3893103448276,,190.46,,0
